"Population","Recovery.Goal","med.NOR","min.NOR","max.NOR","med.HOR","min.HOR","max.HOR","med.NOR_Density","min.NOR_Density","max.NOR_Density","med.PHOS","min.pHOS","max.pHOS","n"
"Coweeman",1200,3237.54170407799,1071.12735954151,6615.95542759206,528.587947330374,115.982614699202,1311.88540612616,33.90158659725,11.2162005173372,69.2783001280084,0.133667636406188,0.0348958619188194,0.284926634380425,10
"EF Lewis",2000,1882.99138948671,523.995882577158,4098.79687957072,233.676787953217,109.339892788524,908.618543408697,13.3734085355284,3.72153109555606,29.1105341642536,0.116491560592057,0.054099146170371,0.521461819074275,4
"Elochoman, Skamokawa",2400,779.061819540474,286.76711984435,3224.1202907131,547.101087051623,245.468561463407,1919.40474397186,4.82591740431904,1.776385904086,19.9718916192659,0.356923801749215,0.111052782193188,0.72642836145195,1
"Grays, Chinook",2400,571.57774228137,80.1252258544204,3286.12802590256,960.554890275631,430.15416260708,1918.41748206768,2.18293070638902,0.306008794491979,12.5501558969681,0.657681264858932,0.356212227444056,0.955073306487193,1
"Kalama",500,76.2782688262623,7.89177271192244,320.680721425663,322.866560745928,150.815347551649,884.488009253333,1.47885293751901,0.153002571202044,6.21723112209357,0.883935045642773,0.653097592351351,0.984912368225141,NA
"LCR ESU",23700,29572.8328349055,11729.1148894397,89990.6486941592,23450.9361949494,9543.92233203071,52722.7468888439,9.89146256202809,3.9231311204546,30.0998939621451,0.429884430512979,0.289634957102268,0.529919800713031,8
"Lower Cowlitz",3700,4709.42454759247,2525.31383442738,24957.6158936007,627.231321836112,203.21816804174,1260.57502650824,7.41532072874163,3.97628454044993,39.2975244863832,0.0778737498165226,0.0460630724388444,0.181841148099354,7
"Lower Gorge",1900,582.554078848834,343.5760584199,1285.37726383355,143.031629494808,48.8918778221507,545.390134084912,10.999186333054,6.48704939737852,24.2691701019658,0.168908672147629,0.0700638349881415,0.298801158197254,NA
"Mill, Abernathy, Germany, Coal",1800,958.182929018424,570.233020685475,2561.24430007114,153.027840985242,13.2943361307595,562.76865410045,10.0166344013342,5.96109105974797,26.7746867423272,0.120999172737097,0.0227601336288507,0.273100176342053,1
"NF Lewis",500,3180.90116222452,986.008315166141,8185.82519816797,5205.5219619007,266.247649501048,9110.23304330765,11.4751665543201,3.5570453350909,29.5305332492117,0.54506632652293,0.143246567493976,0.85118390668929,11
"NF Toutle",1900,1641.75859906695,681.12440151552,5289.87567117493,582.443578888099,365.169057480182,2553.90233690094,7.15915589370919,2.97015394116423,23.0673648426777,0.311259521965866,0.164431883704582,0.60766952668871,4
"Salmon Creek",NA,2187.91470480135,950.855881579228,4861.33748972305,102.842924198923,22.6568979582277,493.614104014479,7.75577926680795,3.37061966624707,17.2326007174825,0.0530037148040303,0.0143815782278776,0.139321496282634,NA
"SF Toutle",1900,1940.93679069882,1161.05635129684,10405.8721458621,241.966927749229,63.4393695467588,2472.26973547367,21.2818988053789,12.7306998837119,114.097851641121,0.13830765909944,0.0211664504393887,0.490127528927168,6
"Tilton",NA,1963.55776823898,898.497415412149,8923.28292746339,4348.75658632026,1576.90262861521,10242.2287863057,9.82284254155619,4.49479958183464,44.6393809074638,0.690215706626425,0.356177174711221,0.810778668086089,NA
"Upper Cowlitz and Cispus",2000,2773.88428144702,9.17141299931973,8815.55342265946,6402.84786498435,940.096526222853,22567.8742633974,8.26677187779687,0.027332783695968,26.2722456048674,0.714365587990489,0.551904722144506,0.998412077326183,6
"Washougal",1500,509.92726079626,109.954558451275,940.770342273993,670.648595287144,58.6196267057675,1384.11735133692,6.40628583771354,1.38137413853598,11.8190263270879,0.575564596630598,0.0875061493267809,0.751743277279311,NA
